PassengerId,Survived,Pclass,Sex_num,Age_filled,Fare_capped,FamilySize,IsAlone,Age_z,Fare_z,FamilySize_z,Embarked_filled_C,Embarked_filled_NAN,Embarked_filled_Q,Embarked_filled_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Title_the Countess,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_deck_U,AgeBin_0-10,AgeBin_11-20,AgeBin_21-30,AgeBin_31-40,AgeBin_41-50,AgeBin_51-60,AgeBin_60+
1,0,3,1,22.0,7.25,2,0,-0.5657364610748746,-0.8205524467753036,0.059159876663617626,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,1,1,0,38.0,65.6344,2,0,0.6638610320657843,2.0316232164746784,0.059159876663617626,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,3,0,26.0,7.925,1,1,-0.2583370877897099,-0.7875775669667633,-0.5609748304808925,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,1,1,0,35.0,53.1,2,0,0.4333115021019107,1.4192967965159125,0.059159876663617626,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0,3,1,35.0,8.05,1,1,0.4333115021019107,-0.7814711077429595,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6,0,3,1,28.0,8.4583,1,1,-0.10463740114712752,-0.761524969334327,-0.5609748304808925,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,0,1,1,54.0,51.8625,1,1,1.893458525206443,1.358842850200255,-0.5609748304808925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,0,3,1,2.0,21.075,5,0,-2.1027333275006983,-0.14517805662260871,1.9195639980971482,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,1,3,0,27.0,11.1333,3,0,-0.1814872444684187,-0.6308467419449267,0.6792945838081278,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,1,2,0,14.0,30.0708,2,0,-1.180535207645204,0.2942818304613415,0.059159876663617626,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,1,3,0,4.0,16.7,3,0,-1.949033640858116,-0.35890412945574,0.6792945838081278,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
